ner_tag_id,study_id,tag,start_id,end_id,text,probability,model,norm_text,min,max,unit,per_weight_unit,weight_reference,per_time_unit,dose_type
38,6450,Application area,210,227,bipolar disorder ,1.0,manual_annotation,,,,,,,,
39,6450,Application area,228,230,BD,1.0,manual_annotation,,,,,,,,
40,6450,Application area,313,315,BD,1.0,manual_annotation,,,,,,,,
41,1364,Application area,25,35,depression,1.0,manual_annotation,,,,,,,,
42,1364,Application area,437,447,depression,1.0,manual_annotation,,,,,,,,
43,1364,Dosage,1396,1413,0.1 to 0.5 mg/Kg ,1.0,manual_annotation,0.1-0.5 mg/kg,0.1,0.5,mg,kg,1.0,,relative_weight
44,1364,Dosage,1437,1449,0.5–1 mg/Kg ,1.0,manual_annotation,0.5–1 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
45,3492,Application area,102,125,"alcohol use disorder.^
",1.0,manual_annotation,,,,,,,,
46,3492,Application area,224,245,alcohol use disorder ,1.0,manual_annotation,,,,,,,,
47,3492,Application area,246,249,AUD,1.0,manual_annotation,,,,,,,,
48,3492,Dosage,751,757,25 mg ,1.0,manual_annotation,25 mg,25.0,25.0,mg,,,,absolute
49,980,Application area,81,104,"acute traumatic pain.^
",1.0,manual_annotation,,,,,,,,
50,980,Application area,339,363,acute limbs’ trauma pain,1.0,manual_annotation,,,,,,,,
51,2912,Application area,98,115,opioid-dependent ,1.0,manual_annotation,,,,,,,,
52,2912,Application area,126,144,Opioid dependence ,1.0,manual_annotation,,,,,,,,
53,2912,Application area,236,253,opioid‐dependent ,1.0,manual_annotation,,,,,,,,
54,2912,Application area,921,938,opioid‐dependent ,1.0,manual_annotation,,,,,,,,
55,2912,Dosage,1737,1743,80 mg ,1.0,manual_annotation,80 mg,80.0,80.0,mg,,,,absolute
56,2912,Dosage,1788,1808,"10, 20, 30, or 40 mg",1.0,manual_annotation,"10, 20, 30, or 40 mg",10.0,40.0,mg,,,,absolute
57,2912,Dosage,2396,2401,80mg ,1.0,manual_annotation,80 mg,80.0,80.0,mg,,,,absolute
58,2912,Dosage,2404,2410,670 mg,1.0,manual_annotation,670 mg,670.0,670.0,mg,,,,absolute
59,2912,Dosage,2468,2474,653 mg,1.0,manual_annotation,653 mg,653.0,653.0,mg,,,,absolute
60,2912,Dosage,2482,2492,640‐670 mg,1.0,manual_annotation,640‐670 mg,640.0,670.0,mg,,,,absolute
61,4798,Application area,34,60,major depressive disorder ,1.0,manual_annotation,,,,,,,,
62,4798,Application area,64,82,bipolar depression,1.0,manual_annotation,,,,,,,,
63,4798,Application area,222,232,depression,1.0,manual_annotation,,,,,,,,
64,4798,Application area,419,439,depressive symptoms ,1.0,manual_annotation,,,,,,,,
65,4798,Application area,475,499,major depressive episode,1.0,manual_annotation,,,,,,,,
66,6362,Application area,292,338,treatment-resistant major depressive disorder ,1.0,manual_annotation,,,,,,,,
67,6362,Application area,339,342,TRD,1.0,manual_annotation,,,,,,,,
68,6362,Application area,532,542,depressed ,1.0,manual_annotation,,,,,,,,
69,6362,Dosage,804,813,0.5mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
70,8836,Application area,78,114,Treatment-Resistant Major Depression,1.0,manual_annotation,,,,,,,,
71,8836,Dosage,474,484,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
72,8836,Application area,487,518,treatment-resistant depression ,1.0,manual_annotation,,,,,,,,
73,8836,Application area,519,522,TRD,1.0,manual_annotation,,,,,,,,
74,8836,Dosage,659,668,0.5 mg/kg,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
75,8836,Dosage,1584,1594,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
76,2605,Application area,30,41,Depression ,1.0,manual_annotation,,,,,,,,
77,2605,Application area,157,168,Depression ,1.0,manual_annotation,,,,,,,,
78,2605,Application area,338,349,depression ,1.0,manual_annotation,,,,,,,,
79,2605,Dosage,852,861,0.5 mg/kg,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
80,2207,Application area,94,101,"PTSD.^
",1.0,manual_annotation,,,,,,,,
81,2207,Application area,395,399,PTSD,1.0,manual_annotation,,,,,,,,
82,2207,Dosage,663,673,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
83,4574,Dosage,910,921,0.26 mg/kg ,1.0,manual_annotation,0.26 mg/kg,0.26,0.26,mg,kg,1.0,,relative_weight
84,4574,Dosage,945,960,0.65 mg/kg/hour,1.0,manual_annotation,0.65 mg/kg/h,0.65,0.65,mg,kg,1.0,h,relative_weight_time
85,6268,Dosage,223,228,60 mg,1.0,manual_annotation,60 mg,60.0,60.0,mg,,,,absolute
86,6268,Dosage,257,262,1 mg ,1.0,manual_annotation,1 mg,1.0,1.0,mg,,,,absolute
87,176,Application area,57,110,"treatment-refractory obsessive-compulsive disorder.^
",1.0,manual_annotation,,,,,,,,
88,176,Application area,191,232,Refractory obsessive-compulsive disorder ,1.0,manual_annotation,,,,,,,,
89,176,Application area,233,236,OCD,1.0,manual_annotation,,,,,,,,
90,176,Application area,285,310,chronic suicidal ideation,1.0,manual_annotation,,,,,,,,
91,5598,Application area,18,28,depression,1.0,manual_annotation,,,,,,,,
92,5598,Application area,164,190,major depressive disorder ,1.0,manual_annotation,,,,,,,,
93,5598,Dosage,1121,1138,0.5 to 1.25 mg/kg,1.0,manual_annotation,0.5-1.25 mg/kg,0.5,1.25,mg,kg,1.0,,relative_weight
94,2487,Application area,32,50,suicidal ideation ,1.0,manual_annotation,,,,,,,,
95,2487,Application area,53,60,cancer ,1.0,manual_annotation,,,,,,,,
96,2487,Application area,206,224,suicidal ideation ,1.0,manual_annotation,,,,,,,,
97,2487,Application area,236,247,depression ,1.0,manual_annotation,,,,,,,,
98,2420,Application area,127,147,Parkinson’s disease ,1.0,manual_annotation,,,,,,,,
99,2420,Application area,789,809,Parkinson's disease ,1.0,manual_annotation,,,,,,,,
100,2118,Application area,101,127,major depressive disorder ,1.0,manual_annotation,,,,,,,,
101,2118,Application area,205,216,depression ,1.0,manual_annotation,,,,,,,,
102,2118,Application area,452,463,depression ,1.0,manual_annotation,,,,,,,,
103,2118,Dosage,1540,1547,5-15 µg,1.0,manual_annotation,5-15 µg,5.0,15.0,µg,,,,absolute
104,305,Application area,122,152,Treatment Resistant Depression,1.0,manual_annotation,,,,,,,,
105,305,Application area,239,250,depression ,1.0,manual_annotation,,,,,,,,
106,305,Application area,350,381,Treatment Resistant Depression ,1.0,manual_annotation,,,,,,,,
107,305,Application area,382,385,TRD,1.0,manual_annotation,,,,,,,,
108,305,Application area,421,425,TRD ,1.0,manual_annotation,,,,,,,,
109,777,Application area,38,48,depressed ,1.0,manual_annotation,,,,,,,,
110,777,Application area,196,207,depression ,1.0,manual_annotation,,,,,,,,
111,777,Application area,434,444,depression,1.0,manual_annotation,,,,,,,,
112,777,Dosage,579,587,.5 mg/kg,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
113,1240,Application area,84,95,Depression ,1.0,manual_annotation,,,,,,,,
114,1240,Application area,99,111,Suicidality ,1.0,manual_annotation,,,,,,,,
115,1240,Application area,144,151,Suicide,1.0,manual_annotation,,,,,,,,
116,1240,Application area,367,383,major depression,1.0,manual_annotation,,,,,,,,
117,1240,Application area,395,406,suicidality,1.0,manual_annotation,,,,,,,,
118,1240,Application area,438,446,suicide ,1.0,manual_annotation,,,,,,,,
119,1240,Dosage,578,583,84 mg,1.0,manual_annotation,84 mg,84.0,84.0,mg,,,,absolute
120,1441,Application area,545,576,treatment-resistant depression ,1.0,manual_annotation,,,,,,,,
121,1441,Application area,577,580,TRD,1.0,manual_annotation,,,,,,,,
122,1441,Dosage,601,611,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
123,1441,Dosage,621,631,0.2 mg/kg ,1.0,manual_annotation,0.2 mg/kg,0.2,0.2,mg,kg,1.0,,relative_weight
124,1441,Dosage,1101,1111,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
125,1441,Dosage,1124,1134,0.2 mg/kg ,1.0,manual_annotation,0.2 mg/kg,0.2,0.2,mg,kg,1.0,,relative_weight
126,1441,Dosage,1339,1349,0.2 mg/kg ,1.0,manual_annotation,0.2 mg/kg,0.2,0.2,mg,kg,1.0,,relative_weight
127,1441,Dosage,1476,1486,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
128,2232,Application area,68,96,"major depressive disorder.^
",1.0,manual_annotation,,,,,,,,
129,2232,Application area,331,341,depression,1.0,manual_annotation,,,,,,,,
130,2232,Dosage,929,936,.5mg/kg,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
131,3371,Dosage,247,253,25 mg ,1.0,manual_annotation,25 mg,25.0,25.0,mg,,,,absolute
132,3371,Dosage,263,269,10 mg ,1.0,manual_annotation,10 mg,10.0,10.0,mg,,,,absolute
133,3371,Dosage,515,520,25 mg,1.0,manual_annotation,25 mg,25.0,25.0,mg,,,,absolute
134,3598,Application area,47,58,Depression ,1.0,manual_annotation,,,,,,,,
135,3598,Application area,62,69,Anxiety,1.0,manual_annotation,,,,,,,,
136,3598,Application area,568,579,depression ,1.0,manual_annotation,,,,,,,,
137,3598,Application area,583,590,anxiety,1.0,manual_annotation,,,,,,,,
138,3820,Application area,19,38,anxious depression ,1.0,manual_annotation,,,,,,,,
139,3820,Application area,126,145,anxious depression ,1.0,manual_annotation,,,,,,,,
140,3820,Application area,241,262,nonanxious depression,1.0,manual_annotation,,,,,,,,
141,3820,Application area,425,435,depression,1.0,manual_annotation,,,,,,,,
142,3820,Application area,542,561,anxious depression ,1.0,manual_annotation,,,,,,,,
143,3820,Dosage,751,761,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
144,4916,Application area,137,158,postpartum depression,1.0,manual_annotation,,,,,,,,
145,4916,Application area,296,318,postpartum depression ,1.0,manual_annotation,,,,,,,,
146,4916,Application area,319,322,PPD,1.0,manual_annotation,,,,,,,,
147,4916,Application area,447,450,PPD,1.0,manual_annotation,,,,,,,,
148,4916,Dosage,1106,1115,0.5 mg/kg,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
149,5020,Dosage,899,910,0.25 mg/kg ,1.0,manual_annotation,0.25 mg/kg,0.25,0.25,mg,kg,1.0,,relative_weight
150,5020,Dosage,1001,1011,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
151,5020,Dosage,3183,3193,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
152,5020,Dosage,3438,3448,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
153,5705,Application area,114,147,"treatment-resistant depression.^
",1.0,manual_annotation,,,,,,,,
154,5705,Application area,274,305,treatment-resistant depression ,1.0,manual_annotation,,,,,,,,
155,5705,Application area,306,309,TRD,1.0,manual_annotation,,,,,,,,
156,5705,Application area,686,690,TRD ,1.0,manual_annotation,,,,,,,,
157,5968,Application area,36,56,depressive symptoms ,1.0,manual_annotation,,,,,,,,
158,5968,Application area,71,103,severe major depressive disorder,1.0,manual_annotation,,,,,,,,
159,5968,Application area,573,599,major depressive disorder ,1.0,manual_annotation,,,,,,,,
160,5968,Application area,600,603,MDD,1.0,manual_annotation,,,,,,,,
161,5968,Application area,620,638,suicidal ideation ,1.0,manual_annotation,,,,,,,,
162,5968,Application area,732,752,depressive symptoms ,1.0,manual_annotation,,,,,,,,
163,5968,Application area,767,771,MDD ,1.0,manual_annotation,,,,,,,,
164,5968,Application area,776,800,acute suicidal ideation ,1.0,manual_annotation,,,,,,,,
165,5968,Application area,878,898,depressive symptoms ,1.0,manual_annotation,,,,,,,,
166,5968,Application area,915,933,severe depression ,1.0,manual_annotation,,,,,,,,
167,5968,Dosage,1438,1444,84 mg ,1.0,manual_annotation,84 mg,84.0,84.0,mg,,,,absolute
168,6000,Application area,53,85,"Posttraumatic Stress Disorder.^
",1.0,manual_annotation,,,,,,,,
169,6000,Application area,85,115,Posttraumatic stress disorder ,1.0,manual_annotation,,,,,,,,
170,6000,Application area,116,120,PTSD,1.0,manual_annotation,,,,,,,,
171,6000,Application area,290,295,PTSD ,1.0,manual_annotation,,,,,,,,
172,6000,Application area,585,589,PTSD,1.0,manual_annotation,,,,,,,,
173,6000,Application area,689,694,PTSD ,1.0,manual_annotation,,,,,,,,
174,6000,Dosage,1962,1969,125 mg ,1.0,manual_annotation,125 mg,125.0,125.0,mg,,,,absolute
175,6000,Dosage,4129,4136,125 mg ,1.0,manual_annotation,125 mg,125.0,125.0,mg,,,,absolute
176,6000,Dosage,4168,4176,62.5 mg ,1.0,manual_annotation,62.5 mg,62.5,62.5,mg,,,,absolute
177,6044,Application area,336,355,nicotine dependent ,1.0,manual_annotation,,,,,,,,
178,6044,Dosage,2068,2079,30 mg/70 kg,1.0,manual_annotation,30 mg/70 kg,30.0,30.0,mg,kg,70.0,,relative_weight
179,6103,Application area,54,61,"PTSD.^
",1.0,manual_annotation,,,,,,,,
180,6103,Application area,61,66,PTSD ,1.0,manual_annotation,,,,,,,,
181,6103,Application area,148,153,PTSD ,1.0,manual_annotation,,,,,,,,
182,6103,Application area,311,316,PTSD ,1.0,manual_annotation,,,,,,,,
183,6103,Application area,587,592,PTSD ,1.0,manual_annotation,,,,,,,,
184,6103,Application area,740,745,PTSD ,1.0,manual_annotation,,,,,,,,
185,6103,Application area,959,964,PTSD ,1.0,manual_annotation,,,,,,,,
186,6103,Application area,1540,1544,PTSD,1.0,manual_annotation,,,,,,,,
187,6103,Application area,1786,1790,PTSD,1.0,manual_annotation,,,,,,,,
188,6103,Dosage,2984,2990,80 mg ,1.0,manual_annotation,80 mg,80.0,80.0,mg,,,,absolute
189,6103,Dosage,2993,3000,120 mg ,1.0,manual_annotation,120 mg,120.0,120.0,mg,,,,absolute
190,6103,Dosage,3167,3178,40 or 60 mg,1.0,manual_annotation,40 or 60 mg,40.0,60.0,mg,,,,absolute
191,6103,Dosage,3258,3270,80 mg to 180,1.0,manual_annotation,80 mg-180,80.0,180.0,mg,,,,absolute
192,6221,Application area,63,89,Major Depressive Disorder ,1.0,manual_annotation,,,,,,,,
193,6221,Application area,109,119,"Suicide.^
",1.0,manual_annotation,,,,,,,,
194,6221,Application area,192,196,MDD ,1.0,manual_annotation,,,,,,,,
195,6221,Application area,216,224,suicide ,1.0,manual_annotation,,,,,,,,
196,6221,Dosage,396,401,90 mg,1.0,manual_annotation,90 mg,90.0,90.0,mg,,,,absolute
197,6221,Dosage,507,512,90 mg,1.0,manual_annotation,90 mg,90.0,90.0,mg,,,,absolute
198,8606,Application area,204,317,"treatment-resistant obsessive compulsive, post-traumatic stress, generalised anxiety and social anxiety disorders",1.0,manual_annotation,,,,,,,,
199,8606,Dosage,767,775,1 mg/kg ,1.0,manual_annotation,1 mg/kg,1.0,1.0,mg,kg,1.0,,relative_weight
200,8889,Dosage,568,578,0.6 mg/min,1.0,manual_annotation,0.6 mg/min,0.6,0.6,mg,,,min,relative_time
201,8889,Dosage,596,604,1 mg/min,1.0,manual_annotation,1 mg/min,1.0,1.0,mg,,,min,relative_time
202,8889,Dosage,633,639,15 mg ,1.0,manual_annotation,15 mg,15.0,15.0,mg,,,,absolute
203,8889,Dosage,641,651,0.6 mg/min,1.0,manual_annotation,0.6 mg/min,0.6,0.6,mg,,,min,relative_time
204,8889,Dosage,686,692,25 mg ,1.0,manual_annotation,25 mg,25.0,25.0,mg,,,,absolute
205,8889,Dosage,694,702,1 mg/min,1.0,manual_annotation,1 mg/min,1.0,1.0,mg,,,min,relative_time
206,8889,Dosage,1007,1012,15 mg,1.0,manual_annotation,15 mg,15.0,15.0,mg,,,,absolute
207,8889,Dosage,1024,1029,25 mg,1.0,manual_annotation,25 mg,25.0,25.0,mg,,,,absolute
208,8889,Dosage,1137,1152,0.6 or 1 mg/min,1.0,manual_annotation,0.6 or 1 mg/min,0.6,1.0,mg,,,min,relative_time
209,3178,Application area,351,376,"0, 5, 10, 20, 30 mg/70 kg",1.0,manual_annotation,,,,,,,,
210,3178,Application area,1055,1076,20 and/or 30 mg/70 kg,1.0,manual_annotation,,,,,,,,
211,3178,Application area,1793,1812,20 and 30 mg/70 kg ,1.0,manual_annotation,,,,,,,,
212,8320,Dosage,738,756,0.04 and 0.4 mg/kg,1.0,manual_annotation,0.04 and 0.4 mg/kg,0.04,0.4,mg,kg,1.0,,relative_weight
213,8320,Dosage,1562,1580,0.2 and 0.4 mg/kg ,1.0,manual_annotation,0.2 and 0.4 mg/kg,0.2,0.4,mg,kg,1.0,,relative_weight
214,8320,Dosage,2033,2051,0.1 and 0.05 mg/kg,1.0,manual_annotation,0.1 and 0.05 mg/kg,0.05,0.1,mg,kg,1.0,,relative_weight
215,8320,Dosage,2102,2112,0.1 mg/kg ,1.0,manual_annotation,0.1 mg/kg,0.1,0.1,mg,kg,1.0,,relative_weight
216,7224,Application area,89,102,"depression.^
",1.0,manual_annotation,,,,,,,,
217,7224,Application area,184,210,major depressive disorder ,1.0,manual_annotation,,,,,,,,
218,7224,Application area,211,214,MDD,1.0,manual_annotation,,,,,,,,
219,8457,Dosage,619,643,"75, 110 and 145 mg/70 kg",1.0,manual_annotation,"75, 110 and 145 mg/70 kg",75.0,145.0,mg,kg,70.0,,relative_weight
220,2117,Application area,87,97,borderline,1.0,manual_annotation,,,,,,,,
221,2117,Application area,611,643,borderline personality disorder ,1.0,manual_annotation,,,,,,,,
222,2117,Application area,644,647,BPD,1.0,manual_annotation,,,,,,,,
223,3631,Dosage,496,514,"15, 25, and 30 mg ",1.0,manual_annotation,"15, 25, and 30 mg",15.0,30.0,mg,,,,absolute
224,3631,Dosage,1262,1280,"15, 25, and 30 mg ",1.0,manual_annotation,"15, 25, and 30 mg",15.0,30.0,mg,,,,absolute
225,3631,Dosage,1498,1516,"15, 25, and 30 mg ",1.0,manual_annotation,"15, 25, and 30 mg",15.0,30.0,mg,,,,absolute
226,2556,Application area,22,53,treatment resistant depression ,1.0,manual_annotation,,,,,,,,
227,2556,Application area,168,199,treatment resistant depression ,1.0,manual_annotation,,,,,,,,
228,2556,Application area,200,203,TRD,1.0,manual_annotation,,,,,,,,
229,2556,Application area,368,372,TRD ,1.0,manual_annotation,,,,,,,,
230,2556,Application area,620,624,TRD ,1.0,manual_annotation,,,,,,,,
231,2556,Application area,669,673,TRD ,1.0,manual_annotation,,,,,,,,
232,2556,Dosage,779,787,0.5mg/kg,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
233,1254,Dosage,598,617,"10, 20, 30 mg/70 kg",1.0,manual_annotation,"10, 20, 30 mg/70 kg",10.0,30.0,mg,kg,70.0,,relative_weight
234,7903,Dosage,602,612,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
235,8611,Application area,145,178,"Treatment-Resistant Depression.^
",1.0,manual_annotation,,,,,,,,
236,8611,Application area,343,373,treatment-resistant depression,1.0,manual_annotation,,,,,,,,
237,8611,Application area,721,751,treatment-resistant depression,1.0,manual_annotation,,,,,,,,
238,8611,Dosage,998,1016,ketamine 0.5 mg/kg,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
239,8611,Dosage,1034,1043,0.2 mg/kg,1.0,manual_annotation,0.2 mg/kg,0.2,0.2,mg,kg,1.0,,relative_weight
240,8611,Dosage,1826,1836,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
241,8611,Dosage,1840,1849,0.2 mg/kg,1.0,manual_annotation,0.2 mg/kg,0.2,0.2,mg,kg,1.0,,relative_weight
242,6591,Dosage,485,493,1 mg/kg ,1.0,manual_annotation,1 mg/kg,1.0,1.0,mg,kg,1.0,,relative_weight
243,6591,Dosage,576,584,3 mg/kg ,1.0,manual_annotation,3 mg/kg,3.0,3.0,mg,kg,1.0,,relative_weight
244,6591,Dosage,659,667,3 mg/kg ,1.0,manual_annotation,3 mg/kg,3.0,3.0,mg,kg,1.0,,relative_weight
245,5738,Dosage,1045,1051,100 mg,1.0,manual_annotation,100 mg,100.0,100.0,mg,,,,absolute
246,7945,Application area,24,32,Suicide ,1.0,manual_annotation,,,,,,,,
247,7945,Application area,67,85,Acute Suicidality ,1.0,manual_annotation,,,,,,,,
248,7945,Application area,146,154,Suicide ,1.0,manual_annotation,,,,,,,,
249,7945,Application area,260,271,suicidality,1.0,manual_annotation,,,,,,,,
250,7945,Application area,343,361,suicidal thoughts ,1.0,manual_annotation,,,,,,,,
251,7945,Application area,430,438,suicide ,1.0,manual_annotation,,,,,,,,
252,7945,Dosage,1096,1105,0.5 mg/kg,1.0,manual_annotation,0.5 mg/kg,0.5,0.5,mg,kg,1.0,,relative_weight
253,3533,Dosage,379,386,100 mg ,1.0,manual_annotation,100 mg,100.0,100.0,mg,,,,absolute
254,3533,Dosage,417,424,100 mg ,1.0,manual_annotation,100 mg,100.0,100.0,mg,,,,absolute
255,3354,Application area,85,106,postpartum depression,1.0,manual_annotation,,,,,,,,
256,3354,Application area,152,174,Postpartum depression ,1.0,manual_annotation,,,,,,,,
257,3354,Application area,175,178,PPD,1.0,manual_annotation,,,,,,,,
258,3354,Application area,289,292,PPD,1.0,manual_annotation,,,,,,,,
259,3354,Application area,401,405,PPD ,1.0,manual_annotation,,,,,,,,
260,3354,Dosage,800,810,0.5 mg/kg ,1.0,manual_annotation,0.5 mg/kg ,0.5,0.5,mg,kg,1.0,,relative_weight
261,3354,Dosage,1921,1934,(0.01 mg/kg/h,1.0,manual_annotation,0.01 mg/kg/h,0.01,0.01,mg,kg,1.0,h,relative_weight_time
262,1958,Dosage,566,577,13 or 26 μg,1.0,manual_annotation,13 or 26 μg,13.0,26.0,μg,,,,absolute
263,1958,Dosage,675,681,13 μg ,1.0,manual_annotation,13 μg,13.0,13.0,μg,,,,absolute
264,1958,Dosage,698,704,26 μg ,1.0,manual_annotation,26 μg,26.0,26.0,μg,,,,absolute
265,3765,Dosage,1290,1310,"0, 5, 10, and 20 mcg",1.0,manual_annotation,"0, 5, 10, and 20 µg",0.0,20.0,µg,,,,absolute
266,3765,Dosage,1686,1704,"5, 10, and 20 mcg ",1.0,manual_annotation,"5, 10, and 20 µg",5.0,20.0,µg,,,,absolute
267,3765,Dosage,2598,2609,N(5 mcg)=10,1.0,manual_annotation,5 µg=10,5.0,10.0,µg,,,,absolute
268,3765,Dosage,2611,2622,N(10 mcg)= ,1.0,manual_annotation,10 µg=,10.0,10.0,µg,,,,absolute
269,3765,Dosage,2628,2637,20 mcg)=8,1.0,manual_annotation,20 µg=8,20.0,8.0,µg,,,,absolute
270,3765,Dosage,2875,2892,"5, 10 and 20 mcg ",1.0,manual_annotation,"5, 10 and 20 µg",5.0,20.0,µg,,,,absolute
271,3765,Dosage,3575,3582,20 mcg ,1.0,manual_annotation,20 µg,20.0,20.0,µg,,,,absolute
272,3765,Dosage,3701,3708,10 mcg ,1.0,manual_annotation,10 µg,10.0,10.0,µg,,,,absolute
